Name,Type,Available Stock,Supplying Country,Unit Price,Weight (g)
Bic Ballpoint Pen,Writing,481,US,2.34,25
Pentel Mechanical Pencil,Writing,184,JP,6.42,18
Sharpie Highlighter,Marking,772,US,3.14,32
Crayola Marker,Marking,359,US,5.89,27
Moleskine Notebook,Notebook,137,IT,18.75,287
Binder Clips,Binding,849,CN,4.32,62
Post-it Notes,Notes,267,US,6.99,143
Westcott Ruler,Measuring,719,US,4.56,72
Swingline Stapler,Binding,235,US,17.99,348
Fiskars Scissors,Cutting,491,US,10.23,134
Elmer's Glue Stick,Adhesive,402,US,2.79,22
Prismacolor Eraser,Writing,618,US,1.48,16
Tombow Correction Tape,Correction,88,JP,5.71,29
Paper Clips,Binding,934,CN,2.86,52
Pushpins,Binding,331,CN,2.33,19
Expo Whiteboard Marker,Marking,446,US,4.25,29
Chalk,Marking,203,CN,1.12,22
Ticonderoga Sharpener,Writing,791,US,5.44,83
Protractor,Measuring,642,DE,6.93,59
Compass,Measuring,427,CH,12.54,78
Bic Ballpoint Pen,Writing,0,US,1.78,18
Pentel Mechanical Pencil,Writing,298,JP,8.89,24
Sharpie Highlighter,Marking,415,US,2.69,39
Crayola Marker,Marking,122,US,7.46,34
Moleskine Notebook,Notebook,821,IT,29.99,442
Binder Clips,Binding,679,CN,7.81,89
Post-it Notes,Notes,514,US,9.33,217
Westcott Ruler,Measuring,387,US,6.88,103
Swingline Stapler,Binding,93,US,25.63,522
Fiskars Scissors,Cutting,208,US,13.72,201
Elmer's Glue Stick,Adhesive,735,US,3.14,29
Prismacolor Eraser,Writing,266,US,2.08,24
Tombow Correction Tape,Correction,540,JP,7.99,36
Paper Clips,Binding,1000,CN,4.93,78
Pushpins,Binding,159,CN,3.75,29
Expo Whiteboard Marker,Marking,323,US,6.37,39
Chalk,Marking,679,CN,1.65,34
Ticonderoga Sharpener,Writing,433,US,8.16,124
Protractor,Measuring,214,DE,9.81,84
Compass,Measuring,874,CH,17.83,117
